The skeleton graph has: Nodes 1045 and 1044 Edges. 
N 592 (34.0,245.0) 2.5495097567963922
N 593 (35.0,244.0) 3.5355339059327378
N 594 (37.0,242.0) 5.522680508593631
N 595 (36.0,243.0) 4.527692569068709
N 596 (39.5,239.5) 8.0
N 597 (39.0,240.0) 7.516648189186454
N 598 (335.0,152.0) 8.514693182963201
N 599 (332.0,155.0) 11.510864433221338
N 600 (331.0,156.0) 12.509996003196804
N 601 (344.0,167.0) 7.516648189186454
N 602 (345.0,166.0) 6.519202405202649
N 603 (310.0,160.625) 17.132297715134417
N 604 (312.0,164.5) 21.005951537600005
N 605 (311.0,162.5) 19.00657780874821
N 606 (307.0,155.75) 12.260199835239229
